Gene,logFC,logCPM,F,PValue,FDR,mouse_gene
ACY1,-0.6470541102835486,6.249668832234681,4.392068312520928,0.0431322523031558,0.3065782058110614,Acy1
ESPN,-0.6470802386224137,3.8488326360298264,3.208060410145448,0.08160720567987109,0.3962579161157527,Espn
DPYS,-0.6473507167851107,7.948794428096886,2.526525518751707,0.12060844776867144,0.46360370030819953,Dpys
CD99,-0.64815137559957,5.813825417397246,5.752739683924268,0.02171599969735095,0.23024373201733592,NA
CYP2A6,-0.6492742784024252,9.593493033237776,1.2860243409812584,0.26420635293786293,0.6179026521195555,Cyp2a5
PSMB8,-0.6493765672389337,4.341200995775749,3.124682792416132,0.08550984922610241,0.4037673674871617,Psmb8
SERPINF1,-0.6494020681385589,8.581143667079372,3.238997843654081,0.08021039912632347,0.3949295388828673,Serpinf1
PANK3,-0.6495881704329268,7.816619256311812,4.817042046271257,0.03464971436666476,0.2786779377408723,Pank3
RORC,-0.6496644856950432,6.8682129877877625,3.8970814179923328,0.05600714399349073,0.34510300263364474,Rorc
CHAD,-0.6500516563441974,4.082604758893678,2.0910053613591257,0.1567372301136871,0.5162796219836484,Chad
USP32P1,-0.6501720411389247,4.723337657947507,1.751729089153626,0.1939247025822134,0.5570235023396944,NA
CFL2,-0.6502314145352548,5.025932513404297,2.450722363298135,0.1261369444845321,0.4726108781246988,Cfl2
MRPS24,-0.6503321021983106,3.3754218641364475,3.0613662269303,0.0886141230159625,0.4106120917480652,Mrps24
CRYZ,-0.6508377318130532,6.1838860136069815,5.323551213367364,0.02684236753664329,0.2524594987288411,Cryz
RBP1,-0.6511794999193444,3.0296206624900024,1.2198041323469533,0.276657265568032,0.6270254263853368,Rbp1
LACTB2,-0.6512088829475151,4.34416753905505,3.756846331374168,0.06038886140721821,0.3531629419317489,Lactb2
MTCH2,-0.651225353412021,6.063187494011017,3.514035592152899,0.06890532130994764,0.37178829206394554,Mtch2
TMEM150C,-0.6514526674338923,4.635916880876721,5.4899731509462955,0.0247133639758535,0.24548410073188465,Tmem150c
ENDOG,-0.6515391319217225,1.650304924297476,2.022408845876642,0.16351853665996194,0.5236660359308396,Endog
IL2RB,-0.6521119960187571,2.8889212163345936,3.052033530481996,0.08908234795454759,0.4108108735252805,Il2rb
ATPIF1,-0.6521259072057994,5.14088656406478,7.152267313164767,0.01115008361050087,0.18225783490837325,NA
CPNE3,-0.6521952235328836,6.597349422738779,3.0193167527552216,0.09074596529933564,0.412619056100312,Cpne3
SUSD3,-0.6523573966977919,1.9724383757029167,1.377722802485762,0.2481236285505188,0.6048451605994841,Susd3
TRIQK,-0.652468232847864,4.842027085830162,3.395013191549616,0.07356280310434721,0.3810548587270967,Triqk
HTR2B,-0.6525026960947727,0.9281741728840268,1.4643546549195805,0.2340499609359923,0.5921465343556827,Htr2b
HLA-E,-0.6527454896309784,8.223620382032939,4.088786803972989,0.05057608748165167,0.32905332379259705,H2-T23
APOA5,-0.6527789946776237,7.258671444439142,1.173799388008821,0.28575703793669543,0.6352706982020679,Apoa5
HIST1H4E,-0.652930141248326,4.268459031306169,4.325513379300474,0.04465611300086614,0.3123092001106299,NA
MPC2,-0.6529925277884996,6.079840917498829,2.1827293316409873,0.14818021006197732,0.5042828368384432,Mpc2
ADORA2BP1,-0.6531708510918186,0.23449335708144584,1.4641824225976223,0.23407693379397104,0.5921465343556827,NA
SLC25A10,-0.6535883246219982,4.6996290281818105,2.811951335917622,0.10214607955436938,0.4349964135495302,Slc25a10
CDK6,-0.6535946162683564,6.4126530272011495,2.1714108433765005,0.14920590265819397,0.5055522092120306,Cdk6
RP4-539M6.19,-0.6538306684844045,-0.7658066047803802,1.8931657951209195,0.1772650239597052,0.5405162371920811,NA
GCDH,-0.6538910853519986,5.0544594199485475,4.661197681723682,0.03752706327240403,0.28809252161061033,Gcdh
FBLN5,-0.6543179596258593,4.173726254448664,1.8326368779022393,0.1841751741587851,0.5482505898010424,Fbln5
RIPPLY1,-0.6547051536498733,0.3671225318906268,2.2466133267647868,0.14254337934376893,0.4960872143670202,Ripply1
UHMK1,-0.6549161910993228,7.474761967120097,2.7422502469515275,0.10633702290293312,0.44148510750455416,Uhmk1
SMARCD2,-0.6557452525560926,5.549320402062542,5.349735161134882,0.02649458311017001,0.2513080263050934,Smarcd2
AOX1,-0.656588026194924,9.961156353306675,1.830817263847653,0.18438786034233484,0.548514868538633,Aox1
