Gene,logFC,logCPM,F,PValue,FDR
AHSG,-0.1170284757595884,9.903293187863378,0.04938757840920106,0.825376438893876,0.9386199500267065
CTDSPL2,-0.1171073925280269,5.426960298589083,0.8734381402878685,0.3561731656293289,0.689352609611117
UEVLD,-0.11714094096439984,4.108573855148583,0.24951357357338486,0.6204282678782985,0.8499036072247629
VPS35,-0.11715892345223795,5.28836548119034,0.30518378028283116,0.5840323201395925,0.8305564652206883
RPS6KC1,-0.11715929890958249,5.320059775427023,0.4711513188969642,0.4968138913768426,0.7809371654442918
TMX1,-0.11719561308921092,4.659938264437045,0.19802098890736572,0.65896196421263,0.8685641207195172
PPM1B,-0.11725915486132833,6.124348144761909,0.5187677439825301,0.47597459534246256,0.765792688347829
FRG1,-0.11726687719221157,4.370769539957476,0.26820630454747246,0.6076757477136142,0.8424131987647864
XRN1,-0.11730307249363835,7.418798416737319,0.5584715315172829,0.4596843940959182,0.7575345676447001
ZNF573,-0.11737775889188974,3.246393061144047,0.34092154211363224,0.5629041745666883,0.8193333385908118
NAP1L5,-0.117396026363264,1.158811909236491,0.13451560887939665,0.7159219343566233,0.8939263993510794
BUB3,-0.11743356283412897,5.238240382239037,0.2745361087239446,0.6034857218881163,0.8407813296172503
APEX1,-0.11744061337532168,5.662116586453349,0.5231770087969291,0.4741190633041925,0.7649546425294984
NPIPB9,-0.11763977753439761,4.701959066289275,0.1794883234517259,0.6743100958490754,0.8741968706386818
CDK2,-0.11766867975249881,3.8284847636208674,0.42459597449031855,0.518751905159659,0.7950022684744884
